Inicio,Fin,Estrategia,ValorUmbral,Comparacion,Resultado,TiempoTotal(ms)
2025-10-25T22:53:05-03:00,2025-10-25T22:53:06-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,744
2025-10-25T22:53:06-03:00,2025-10-25T22:53:07-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,766
2025-10-25T22:53:08-03:00,2025-10-25T22:53:09-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,741
2025-10-25T23:06:40-03:00,2025-10-25T23:06:41-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,746
2025-10-25T23:06:51-03:00,2025-10-25T23:06:51-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,769
2025-10-25T23:06:55-03:00,2025-10-25T23:06:56-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,754
2025-10-25T23:06:58-03:00,2025-10-25T23:06:59-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,740
2025-10-25T23:06:59-03:00,2025-10-25T23:07:00-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,754
2025-10-25T23:07:01-03:00,2025-10-25T23:07:02-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,756
2025-10-25T23:07:03-03:00,2025-10-25T23:07:04-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,745
2025-10-25T23:07:04-03:00,2025-10-25T23:07:05-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,754
2025-10-25T23:07:06-03:00,2025-10-25T23:07:07-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,762
2025-10-25T23:07:08-03:00,2025-10-25T23:07:08-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,748
2025-10-25T23:07:09-03:00,2025-10-25T23:07:10-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,754
2025-10-25T23:07:11-03:00,2025-10-25T23:07:12-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,757
2025-10-25T23:07:13-03:00,2025-10-25T23:07:14-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,754
2025-10-25T23:07:15-03:00,2025-10-25T23:07:15-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,754
2025-10-25T23:07:16-03:00,2025-10-25T23:07:17-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,756
2025-10-25T23:07:18-03:00,2025-10-25T23:07:18-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,751
2025-10-25T23:07:19-03:00,2025-10-25T23:07:20-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,772
2025-10-25T23:07:21-03:00,2025-10-25T23:07:21-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,760
2025-10-25T23:07:22-03:00,2025-10-25T23:07:23-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,755
2025-10-25T23:07:24-03:00,2025-10-25T23:07:25-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,752
2025-10-25T23:07:25-03:00,2025-10-25T23:07:26-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,770
2025-10-25T23:07:27-03:00,2025-10-25T23:07:27-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,761
2025-10-25T23:07:28-03:00,2025-10-25T23:07:29-03:00,Rama B,1000000000,>,Hash=00000f8b052d2f4295e06755e41f46d24ee4ef057bdf5985854f57d24f8a72c1, Nonce=974734,748
